endBus,lowPlate,plateNo,plateType,remainSeatCnt,routeId,stationId,stationSeq
0,0,경기76아4650,3,31,233000125,233000718,30
0,0,경기76아1192,3,43,233000125,233000770,90
0,0,경기76아1132,3,35,233000125,277103527,67
0,0,경기76아4649,3,45,233000125,119900083,56
